hang,mau,nam,so_km,dong_co,so_cho,gia_vnd,mau_xe,tinh_trang,loai_dong_co
Hyundai,Creta Cao cấp 1.5 AT,2022,15000,máy xăng 1.5 L,5,630000000,xanh,Xe cũ,Xăng
VinFast,VF3 Plus,2024,200,,4,238000000,vàng,Xe cũ,
Hyundai,Tucson 1.6 AT Turbo,2019,56000,máy xăng 1.6 L,5,718000000,trắng,Xe cũ,Xăng
Toyota,Innova 2.0G,2019,87200,máy xăng 2.0 L,8,610000000,trắng,Xe cũ,Xăng
Mazda,CX8 Premium,2023,11000,máy xăng 2.5 L,7,988000000,đỏ,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2022,42000,máy xăng 2.0 L,5,1930000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2021,59000,máy xăng 2.0 L,5,1450000000,đỏ,Xe cũ,Xăng
Kia,Sportage Signature 1.6T AWD,2022,,máy xăng 1.6 L,5,910000000,xanh,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x2 AT,2019,70000,máy xăng 2.7 L,7,790000000,trắng,Xe cũ,Xăng
VinFast,Lux A 2.0 Tiêu chuẩn,2022,30000,máy xăng 2.0 L,5,625000000,trắng,Xe cũ,Xăng
Toyota,Camry 2.0G,2019,80000,máy xăng 2.0 L,5,759000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.4G 4x2 AT,2020,,máy dầu 2.4 L,7,880000000,đen,Xe cũ,Dầu
Mitsubishi,Xpander 1.5 AT,2019,72698,máy xăng 1.5 L,7,450000000,bạc,Xe cũ,Xăng
Lexus,LX 570,2016,68000,máy xăng 5.7 L,7,4520000000,xanh,Xe cũ,Xăng
Hyundai,Elantra 1.6 AT,2021,70000,máy xăng 1.6 L,5,485000000,đỏ,Xe cũ,Xăng
Lexus,GS 350 F-Sport,2012,72000,máy xăng 3.5 L,5,799000000,đen,Xe cũ,Xăng
Mazda,CX8 Premium,2022,40000,máy xăng 2.5 L,7,889000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.4G 4x2 AT Legender,2021,50000,máy dầu 2.4 L,7,980000000,trắng,Xe cũ,Dầu
Toyota,Camry 2.5Q,2021,31000,máy xăng 2.5 L,5,979000000,trắng,Xe cũ,Xăng
Toyota,Corolla Cross 1.8V,2022,30000,máy xăng 1.8 L,5,768000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2020,12000,máy xăng 2.0 L,5,1660000000,trắng,Xe cũ,Xăng
Ford,Explorer Limited 2.3L EcoBoost,2018,42000,máy xăng 2.3 L,7,1130000000,đen,Xe cũ,Xăng
Honda,HRV L,2019,,máy xăng 1.8 L,5,570000000,trắng,Xe cũ,Xăng
Ford,Transit Tiêu chuẩn,2023,42000,máy dầu 2.2 L,16,690000000,bạc,Xe cũ,Dầu
Ford,Ranger XLS 2.2L 4x2 AT,2018,81000,máy dầu 2.2 L,5,515000000,vàng,Xe cũ,Dầu
Kia,Cerato 2.0 AT Premium,2019,,máy xăng 2.0 L,5,495000000,vàng,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2016,39000,máy xăng 2.0 L,5,768000000,đen,Xe cũ,Xăng
Honda,CRV 2.4 AT,2016,100000,máy xăng 2.4 L,5,565000000,đen,Xe cũ,Xăng
Toyota,Camry 2.0Q,2021,65000,máy xăng 2.0 L,5,965000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic Coupe,2022,,máy xăng 2.0 L,5,2390000000,đen,Xe cũ,Xăng
Lexus,RX 350,2019,43000,máy xăng 3.5 L,5,2850000000,đỏ,Xe cũ,Xăng
Porsche,Panamera 3.0 V6,2017,68000,máy xăng 3.0 L,4,3199000000,trắng,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2016,,máy xăng 1.5 L,5,345000000,đỏ,Xe cũ,Xăng
VinFast,Fadil Tiêu chuẩn 1.4 AT,2022,63000,máy xăng 1.4 L,5,330000000,trắng,Xe cũ,Xăng
Honda,City 1.5,2019,52000,máy xăng 1.5 L,5,425000000,trắng,Xe cũ,Xăng
Mercedes,Benz S class S450L,2017,82000,máy xăng 3.0 L,5,1920000000,trắng,Xe cũ,Xăng
Toyota,Vios G 1.5 CVT,2023,18000,máy xăng 1.5 L,5,505000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200,2013,,máy xăng 2.0 L,5,495000000,đen,Xe cũ,Xăng
Mazda,CX8 Premium,2023,,máy xăng 2.5 L,7,975000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200,2016,,máy xăng 2.0 L,5,870000000,đen,Xe cũ,Xăng
Ford,Explorer Limited 2.3L EcoBoost,2024,11000,máy xăng 2.3 L,7,1985000000,trắng,Xe cũ,Xăng
Peugeot,2008 GT Line 1.2 AT,2021,,máy xăng 1.2 L,5,630000000,trắng,Xe cũ,Xăng
LandRover,Range Rover Evoque HSE,2017,53000,máy xăng 2.0 L,5,1089000000,đỏ,Xe cũ,Xăng
Toyota,Innova E 2.0 MT,2021,43000,máy xăng 2.0 L,8,619000000,đồng,Xe cũ,Xăng
Toyota,Camry 2.5Q,2020,21000,máy xăng 2.5 L,5,960000000,đen,Xe cũ,Xăng
VinFast,VF e34 AT,2022,34000,,5,495000000,xanh,Xe cũ,
Toyota,Avanza Premio 1.5 MT,2024,21000,máy xăng 1.5 L,7,510000000,trắng,Xe cũ,Xăng
Ford,Fiesta S 1.6 AT,2012,80000,máy xăng 1.6 L,5,198000000,đỏ,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x2 AT,2018,42000,máy xăng 2.7 L,7,755000000,đen,Xe cũ,Xăng
Mercedes,Benz S class S450L,2017,60000,máy xăng 3.0 L,5,1939000000,trắng,Xe cũ,Xăng
Kia,Soluto 1.4 AT Deluxe,2024,36000,máy xăng 1.4 L,5,420000000,trắng,Xe cũ,Xăng
BMW,X3 sDrive20i,2022,46000,máy xăng 2.0 L,5,1650000000,trắng,Xe cũ,Xăng
Lexus,LX 570,2015,,máy xăng 5.7 L,7,4500000000,đen,Xe cũ,Xăng
Toyota,Veloz Cross Top 1.5 CVT,2022,30000,máy xăng 1.5 L,7,598000000,bạc,Xe cũ,Xăng
VinFast,Lux A 2.0 Tiêu chuẩn,2022,10000,máy xăng 2.0 L,5,615000000,xám,Xe cũ,Xăng
LandRover,Range Rover HSE 3.0,2014,2420,máy xăng 3.0 L,5,2420000000,đen,Xe cũ,Xăng
VinFast,Fadil 1.4 AT Plus,2021,25000,máy xăng 1.4 L,5,335000000,trắng,Xe cũ,Xăng
MG,HS 1.5T LUX,2023,35000,máy xăng 1.5 L,5,625000000,ghi,Xe cũ,Xăng
Mercedes,Benz GLS 450 4Matic,2023,5500,máy xăng 3.0 L,7,4799000000,đen,Xe cũ,Xăng
Kia,Sedona 2.2L DATH,2018,93000,máy dầu 2.2 L,7,699000000,trắng,Xe cũ,Dầu
Ford,Territory Titanium 1.5 AT,2023,19500,máy xăng 1.5 L,5,818000000,đỏ,Xe cũ,Xăng
Toyota,Veloz Cross Top 1.5 CVT,2024,38000,máy xăng 1.5 L,7,628000000,bạc,Xe cũ,Xăng
Mazda,CX5 Premium 2.0 AT,2022,56000,máy xăng 2.0 L,5,738000000,đỏ,Xe cũ,Xăng
Mitsubishi,Triton 4x2 AT Mivec,2020,39000,máy dầu 2.4 L,5,528000000,trắng,Xe cũ,Dầu
Ford,Territory Titanium 1.5 AT,2023,19500,máy xăng 1.5 L,5,818000000,đen,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2019,40000,máy xăng 2.0 L,5,999000000,đỏ,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2019,30000,máy xăng 2.0 L,5,1450000000,đen,Xe cũ,Xăng
VinFast,Lux A 2.0 Cao cấp,2022,10000,máy xăng 2.0 L,5,625000000,trắng,Xe cũ,Xăng
Hyundai,SantaFe Premium 2.4L HTRAC,2019,,máy xăng 2.4 L,7,795000000,đỏ,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2020,30000,máy xăng 1.5 L,5,455000000,cam,Xe cũ,Xăng
Mazda,CX8 Premium AWD,2023,17000,máy xăng 2.5 L,6,1050000000,trắng,Xe cũ,Xăng
Hyundai,Accent 1.4 AT Đặc Biệt,2022,9000,máy xăng 1.4 L,5,485000000,trắng,Xe cũ,Xăng
Toyota,Vios E 1.5 MT,2024,55900,máy xăng 1.5 L,5,410000000,đồng,Xe cũ,Xăng
